obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,Unnamed: 16
,18564.2,,6.81e+04,B,59342.51,59881.181,3s.8p,3P*,1,3s.8d,3D,2,,"T6298c72,LS",,
,18564.2,,2.26e+04,B,59342.51,59881.181,3s.8p,3P*,2,3s.8d,3D,2,,"T6298c72,LS",,
,18564.7,,9.08e+04,B,59342.51,59881.168,3s.8p,3P*,2,3s.8d,3D,3,,"T6298c72,LS",,
,19120.1,,1.13e+04,B,59897.86,60420.87,3s.9p,3P*,1,3s.11s,3S,1,,"T6298c72,LS",,
,19120.1,,3.76e+03,C+,59897.86,60420.87,3s.9p,3P*,0,3s.11s,3S,1,,"T6298c72,LS",,
,19120.1,,1.88e+04,B,59897.86,60420.87,3s.9p,3P*,2,3s.11s,3S,1,,"T6298c72,LS",,
,19537.6,,6.33e+02,C,59423.537,59935.370,3s.7g,3G,4,3s.8f,3F*,4,,"T6298c72,LS",,
,19537.6,,1.29e+04,B,59423.537,59935.370,3s.7g,1G,4,3s.8f,1F*,3,,T6298c72,,
,19537.6,,1.22e+04,B,59423.537,59935.370,3s.7g,3G,4,3s.8f,3F*,3,,"T6298c72,LS",,
,19537.6,,8.13e+02,C,59423.537,59935.370,3s.7g,3G,3,3s.8f,3F*,3,,"T6298c72,LS",,
,19537.6,,1.30e+04,B,59423.537,59935.370,3s.7g,3G,3,3s.8f,3F*,2,,"T6298c72,LS",,
,19537.6,,9.62e+00,E,59423.537,59935.370,3s.7g,3G,3,3s.8f,3F*,4,,"T6298c72,LS",,
,19537.6,,1.23e+04,B,59423.537,59935.370,3s.7g,3G,5,3s.8f,3F*,4,,"T6298c72,LS",,
,20010.8,,1.24e+04,B,59935.370,60435.099,3s.8f,1F*,3,3s.10d,1D,2,,T6298c72,,
,20061,,5.66e+03,B,59936.63,60435.099,3s.9p,1P*,1,3s.10d,1D,2,,T6298c72,,
,20574.0,,3.60e+04,B,58476.689,58962.739,3s.7p,3P*,0,3s.8s,3S,1,,"T6298c72,LS",,
,20588.0,,1.08e+05,B,58477.020,58962.739,3s.7p,3P*,1,3s.8s,3S,1,,"T6298c72,LS",,
,20619.4,,1.79e+05,B,58477.760,58962.739,3s.7p,3P*,2,3s.8s,3S,1,,"T6298c72,LS",,
,20639.9,,2.55e+04,B+,54192.256,54676.755,3s.4d,3D,3,3s.4f,3F*,4,,"T6298c72,LS",,
,20642.2,,2.83e+03,B+,54192.256,54676.701,3s.4d,3D,3,3s.4f,3F*,3,,"T6298c72,LS",,
,20643.8,,2.26e+04,B+,54192.294,54676.701,3s.4d,3D,2,3s.4f,3F*,3,,"T6298c72,LS",,
,20644.2,,1.12e+02,C,54192.256,54676.654,3s.4d,3D,3,3s.4f,3F*,2,,"T6298c72,LS",,
,20645.8,,3.97e+03,B+,54192.294,54676.654,3s.4d,3D,2,3s.4f,3F*,2,,"T6298c72,LS",,
,20647.5,,2.14e+04,B+,54192.335,54676.654,3s.4d,3D,1,3s.4f,3F*,2,,"T6298c72,LS",,
,20814.6,,3.64e+04,B,59400.763,59881.196,3s.7f,3F*,2,3s.8d,3D,1,,"T6298c72,LS",,
,20815.2,,3.23e+04,B,59400.763,59881.181,3s.7f,3F*,3,3s.8d,3D,2,,"T6298c72,LS",,
,20815.2,,4.06e+03,B,59400.763,59881.181,3s.7f,3F*,2,3s.8d,3D,2,,"T6298c72,LS",,
,20815.8,,8.18e+01,D+,59400.763,59881.168,3s.7f,3F*,2,3s.8d,3D,3,,"T6298c72,LS",,
,20815.8,,3.34e+04,B,59400.763,59881.168,3s.7f,3F*,4,3s.8d,3D,3,,"T6298c72,LS",,
,20815.8,,2.89e+03,B,59400.763,59881.168,3s.7f,3F*,3,3s.8d,3D,3,,"T6298c72,LS",,
,21129,,3.16e+05,B,58580.23,59053.52,3s.7p,1P*,1,3s.8s,1S,0,,T6298c72,,
,21480.3,,1.04e+05,B,58575.477,59041.019,3s.6f,1F*,3,3s.7d,1D,2,,T6298c72,,
