obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),wn(cm-1),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,Unnamed: 20
178.5045,0.0005,178.504607,56021.00,200,,,1409.9609,57430.924,4s2.4p2,3P,2,4s2.4p.5d,3P*,2,5,5,,,L3476,
179.3071,0.0005,179.307109,55770.24,100h,,,1409.9609,57180.198,4s2.4p2,3P,2,4s2.4p.7s,"(1/2,1/2)*",1,5,3,,,L3476,
180.1434,0.0005,180.143229,55511.33,75h,,,1409.9609,56921.345,4s2.4p2,3P,2,4s2.4p.5d,*,2,5,5,,,L3476,
184.1327,0.0005,184.132754,54308.66,200h,,,1409.9609,55718.604,4s2.4p2,3P,2,4s2.4p.5d,3D*,3,5,7,,,L3476,
184.2408,0.0005,184.2410,54276.79,200h,,,1409.9609,55686.70,4s2.4p2,3P,2,4s2.4p.5d,3F*,2,5,5,,,L3476,
184.4411,0.0005,184.441023,54217.85,100H,,,7125.2989,61343.172,4s2.4p2,1D,2,4s2.4p.8s,"(3/2,1/2)*",1,5,3,,,L3476,
184.5871,0.0005,184.587232,54174.97,100h,,,0.0000,54174.928,4s2.4p2,3P,0,4s2.4p.6s,"(3/2,1/2)*",1,1,3,,,L3476,
184.6956,0.0005,184.693411,54143.14,100H,,,7125.2989,61269.082,4s2.4p2,1D,2,4s2.4p.8d,"(1/2,3/2)*",2,5,5,,,L3476,
185.3132,0.0005,185.313363,53962.70,200,,,1409.9609,55372.610,4s2.4p2,3P,2,4s2.4p.5d,3D*,2,5,5,,,L3476,
186.0086,0.0005,186.0086,53760.96,500r,,,7125.2989,60886.24,4s2.4p2,1D,2,4s2.4p.6d,"(3/2,3/2)*",3,5,7,,,L3476,
186.5053,0.0005,186.505249,53617.78,100,,,557.1341,54174.928,4s2.4p2,3P,1,4s2.4p.6s,"(3/2,1/2)*",1,3,3,,,L3476,
187.4253,0.0005,187.425651,53354.59,300r,,,557.1341,53911.624,4s2.4p2,3P,1,4s2.4p.6s,"(3/2,1/2)*",2,3,5,,,L3476,
189.5197,0.0005,189.519686,52764.96,100,,,1409.9609,54174.928,4s2.4p2,3P,2,4s2.4p.6s,"(3/2,1/2)*",1,5,3,,,L3476,
190.4701,0.0005,190.470157,52501.68,500r,,,1409.9609,53911.624,4s2.4p2,3P,2,4s2.4p.6s,"(3/2,1/2)*",2,5,5,,,L3476,
190.8435,0.0005,190.843420,52398.96,50h,,,7125.2989,59524.276,4s2.4p2,1D,2,4s2.4p.8s,"(1/2,1/2)*",1,5,3,,,L3476,
191.2406,0.0005,191.240859,52290.15,30,,,557.1341,52847.215,4s2.4p2,3P,1,4s2.4p.4d,1P*,1,3,3,,,L3476,
191.7591,0.0005,191.759239,52148.76,300r,,,0.0000,52148.726,4s2.4p2,3P,0,4s2.4p.6s,"(1/2,1/2)*",1,1,3,,,L3476,
192.3468,0.0005,192.346742,51989.43,"100H,r",,,7125.2989,59114.742,4s2.4p2,1D,2,4s2.4p.7s,"(3/2,1/2)*",1,5,3,,,L3476,
192.9828,0.0005,192.982623,51818.09,500r,,,7125.2989,58943.436,4s2.4p2,1D,2,4s2.4p.5d,*,3,5,7,,,L3476,
