Configuration,Term,J,g,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Lande,Leading percentages,Reference
4f11.(4I*<15/2>).6s.7s.(3S<1>),"(15/2,1)*",17/2,18,,31116.22,,,,                                                                ,L3974
4f11.(4I*<15/2>).6s.7s.(3S<1>),"(15/2,1)*",15/2,16,,31443.26,,,,                                                                ,L3974
4f11.(4I*<15/2>).6s.7s.(3S<1>),"(15/2,1)*",13/2,14,,31816.26,,,,                                                                ,L3974
4f10.(5I).5d.6s.6p?,*,13/2,14,,31515.70,,,,                                                                ,L3974
,*,15/2,16,,31540.19,,,,                                                                ,L3974
4f10.(5I).5d.6s.6p?,*,17/2,18,,31793.06,,,,                                                                ,L3974
4f10.5d.6s2,,9/2,10,,32039.76,,,1.267,                 :    20  (5G) 6d                               ,L3974
,*,15/2,16,,32671.45,,,,                                                                ,L3974
,,9/2,10,,32784.83,,,,                                                                ,L3974
4f11.(4I*<15/2>).6s.7s.(1S<0>),"(15/2,0)*",15/2,16,,33005.31,,,,                                                                ,L3974
,*,15/2,16,,33091.50,,,,                                                                ,L3974
4f10.5d.6s2,,11/2,12,,34366.07,,,1.104,  64             :    36  4f11.6s.6p                            ,L3974
,*,13/2,14,,34653.56,,,,                                                                ,L3974
,,9/2,10,,35040.75,,,1.139,                                                                ,L3974
"4f11.(4I*<15/2>).6s (15/2,1/2)*<8>.7p<1/2>","(8,1/2)",15/2,16,,36344.52,,,,                                                                ,L3974
"4f11.(4I*<15/2>).6s (15/2,1/2)*<8>.7p<1/2>","(8,1/2)",17/2,18,,36367.65,,,,                                                                ,L3974
"4f11.(4I*<15/2>).6s (15/2,1/2)*<7>.7p<1/2>","(7,1/2)",13/2,14,,36663.94,,,,                                                                ,L3974
"4f11.(4I*<15/2>).6s (15/2,1/2)*<7>.7p<1/2>","(7,1/2)",15/2,16,,36860.75,,,,                                                                ,L3974
"4f11.(4I*<15/2>).6s (15/2,1/2)*<8>.7p<3/2>","(8,3/2)",19/2,20,,36726.65,,,,                                                                ,L3974
"4f11.(4I*<15/2>).6s (15/2,1/2)*<8>.7p<3/2>","(8,3/2)",17/2,18,,36791.24,,,,                                                                ,L3974
"4f11.(4I*<15/2>).6s (15/2,1/2)*<8>.7p<3/2>","(8,3/2)",13/2,14,,36895.69,,,,                                                                ,L3974
"4f11.(4I*<15/2>).6s (15/2,1/2)*<8>.7p<3/2>","(8,3/2)",15/2,16,,36958.59,,,,                                                                ,L3974
4f11.(4I*<13/2>).6s.7s.(3S<1>),"(13/2,1)*",15/2,16,,36731.23,,,,                                                                ,L3974
4f11.(4I*<13/2>).6s.7s.(3S<1>),"(13/2,1)*",13/2,14,,36873.76,,,,                                                                ,L3974
4f11.(4I*<13/2>).6s.7s.(3S<1>),"(13/2,1)*",11/2,12,,37029.70,,,,                                                                ,L3974
"4f11.(4I*<15/2>).6s (15/2,1/2)*<7>.7p<3/2>","(7,3/2)",15/2,16,,37324.64,,,,                                                                ,L3974
"4f11.(4I*<15/2>).6s (15/2,1/2)*<7>.7p<3/2>","(7,3/2)",17/2,18,,37388.73,,,,                                                                ,L3974
"4f11.(4I*<15/2>).6s (15/2,1/2)*<7>.7p<3/2>","(7,3/2)",13/2,14,,37404.27,,,,                                                                ,L3974
"4f11.(4I*<15/2>).6s (15/2,1/2)*<7>.7p<3/2>","(7,3/2)",11/2,12,,37438.53,,,,                                                                ,L3974
,,17/2,18,,37356.81,,,,                                                                ,L3974
,,13/2 or 15/2,16,,37404.14,,,,                                                                ,L3974
,,13/2 or 15/2,16,,37481.94,,,,                                                                ,L3974
,*,15/2,16,,37623.09,,,,                                                                ,L3974
,,15/2,16,,37651.71,,,,                                                                ,L3974
,,13/2 or 15/2,16,,37865.77,,,,                                                                ,L3974
,,13/2 or 15/2,16,,38244.65,,,,                                                                ,L3974
4f11.(4I*<13/2>).6s.7s.(1S<0>),"(13/2,0)*",13/2,14,,38397.18,,,,                                                                ,L3974
,,13/2,14,,38513.79,,,,                                                                ,L3974
,,13/2,14,,38828.16,,,,                                                                ,L3974
,,13/2 or 15/2,16,,39098.76,,,,                                                                ,L3974
,,13/2 or 15/2,16,,39171.93,,,,                                                                ,L3974
,,13/2,14,,39554.49,,,,                                                                ,L3974
,,15/2,16,,39676.57,,,,                                                                ,L3974
,,15/2,16,,39904.45,,,,                                                                ,L3974
